                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.07694,                0.95191,                      1,                 0.9603,               0.006634,               0.006634,               0.006634
                     70,                0.07606,                0.95191,                      1,                0.95506,              0.0065845,              0.0065845,              0.0065845
                     71,                0.07974,                0.94342,                      1,                0.96096,               0.006535,               0.006535,               0.006535
                     72,                0.08873,                0.94908,                      1,                0.96597,              0.0064855,              0.0064855,              0.0064855
                     73,                0.08182,                0.95191,                      1,                0.95521,               0.006436,               0.006436,               0.006436
                     74,                0.07125,                0.94767,                      1,                0.96779,              0.0063865,              0.0063865,              0.0063865
                     75,                0.07613,                0.95474,                      1,                0.95743,               0.006337,               0.006337,               0.006337
                     76,                0.10432,                 0.9505,                      1,                 0.9589,              0.0062875,              0.0062875,              0.0062875
                     77,                0.07309,                0.95757,                      1,                 0.9544,               0.006238,               0.006238,               0.006238
                     78,                0.10156,                0.95332,                      1,                0.95493,              0.0061885,              0.0061885,              0.0061885
                     79,                0.08315,                0.95332,                      1,                0.96928,               0.006139,               0.006139,               0.006139
                     80,                0.11737,                 0.9505,                      1,                0.96066,              0.0060895,              0.0060895,              0.0060895
                     81,                0.07645,                0.96181,                      1,                0.95289,                0.00604,                0.00604,                0.00604
                     82,                0.07512,                0.94908,                      1,                0.95873,              0.0059905,              0.0059905,              0.0059905
                     83,                0.06837,                0.95191,                      1,                0.95414,               0.005941,               0.005941,               0.005941
                     84,                0.09273,                 0.9505,                      1,                0.95949,              0.0058915,              0.0058915,              0.0058915
                     85,                0.07079,                0.94908,                      1,                 0.9578,               0.005842,               0.005842,               0.005842
                     86,                0.07497,                0.94767,                      1,                 0.9586,              0.0057925,              0.0057925,              0.0057925
                     87,                0.05963,                0.94908,                      1,                0.98227,               0.005743,               0.005743,               0.005743
                     88,                0.06218,                0.95615,                      1,                0.95032,              0.0056935,              0.0056935,              0.0056935
                     89,                 0.0642,                0.95191,                      1,                0.95654,               0.005644,               0.005644,               0.005644
                     90,                0.06274,                0.94625,                      1,                0.96157,              0.0055945,              0.0055945,              0.0055945
                     91,                0.07846,                 0.9505,                      1,                0.95559,               0.005545,               0.005545,               0.005545
