                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.7776,                0.77879,                0.85547,                0.96197,                0.96667,                0.96278,                0.72049,                0.85519,                0.87523,                0.85068,              0.0016535,              0.0016535,              0.0016535
                     37,                0.79023,                0.75482,                0.85314,                0.96164,                0.96667,                0.96412,                0.74249,                0.85632,                0.85558,                0.85102,              0.0016436,              0.0016436,              0.0016436
                     38,                0.74741,                0.76286,                0.83531,                0.99676,                0.93333,                0.96412,                0.69224,                0.95397,                0.80713,                0.89519,              0.0016337,              0.0016337,              0.0016337
                     39,                 0.8124,                 0.7334,                 0.8596,                 0.9996,                0.93333,                0.96318,                 0.7465,                0.84112,                0.76191,                0.87841,              0.0016238,              0.0016238,              0.0016238
                     40,                0.69373,                0.70902,                0.83053,                0.99339,                0.93333,                 0.9623,                0.74366,                0.86123,                0.77912,                0.87542,              0.0016139,              0.0016139,              0.0016139
                     41,                0.77143,                0.74242,                0.84283,                0.99398,                0.93333,                0.96412,                0.75473,                0.84365,                0.78779,                 0.8807,               0.001604,               0.001604,               0.001604
                     42,                0.74415,                0.74172,                0.84719,                      1,                0.95724,                0.96512,                 0.7434,                0.84078,                  0.718,                0.87353,              0.0015941,              0.0015941,              0.0015941
                     43,                0.74618,                0.69919,                0.82002,                0.99397,                0.96667,                0.96512,                0.75102,                0.89405,                0.65258,                0.88563,              0.0015842,              0.0015842,              0.0015842
                     44,                0.81599,                0.74157,                0.87084,                0.98606,                0.96667,                0.96512,                0.75015,                0.81155,                0.65035,                0.86674,              0.0015743,              0.0015743,              0.0015743
                     45,                0.73576,                0.69632,                 0.8451,                0.95933,                0.96667,                0.96412,                0.78118,                0.80109,                0.64855,                0.85367,              0.0015644,              0.0015644,              0.0015644
                     46,                0.69359,                0.72139,                0.81252,                 0.9624,                0.96667,                0.96278,                 0.7263,                0.86843,                 0.6574,                0.85567,              0.0015545,              0.0015545,              0.0015545
                     47,                 0.7096,                0.67972,                0.83482,                 0.9954,                0.96667,                0.96512,                0.75123,                0.85533,                 0.6331,                0.84742,              0.0015446,              0.0015446,              0.0015446
                     48,                0.71018,                0.66811,                0.84269,                0.99631,                0.96667,                0.96524,                 0.7706,                0.80733,                0.58901,                0.83436,              0.0015347,              0.0015347,              0.0015347
                     49,                0.72804,                0.66627,                0.85757,                  0.995,                0.96667,                0.96531,                0.77058,                0.75332,                0.60365,                0.82402,              0.0015248,              0.0015248,              0.0015248
                     50,                 0.7189,                0.67682,                0.84695,                0.99494,                0.96667,                0.96529,                0.76174,                0.76648,                0.61823,                0.82763,              0.0015149,              0.0015149,              0.0015149
                     51,                0.67237,                 0.6646,                 0.8465,                0.99586,                0.96667,                 0.9654,                0.77152,                0.77832,                0.62446,                0.83569,               0.001505,               0.001505,               0.001505
                     52,                0.67471,                0.64822,                0.83267,                0.99592,                0.96667,                0.96981,                0.80785,                0.74826,                0.59805,                0.82953,              0.0014951,              0.0014951,              0.0014951
                     53,                0.61224,                0.61372,                0.82482,                0.99421,                0.96667,                0.97625,                 0.8037,                0.72889,                0.56748,                 0.8242,              0.0014852,              0.0014852,              0.0014852
                     54,                0.66723,                0.61247,                0.84821,                0.99282,                0.96667,                0.97598,                0.81154,                 0.7077,                0.56908,                0.82239,              0.0014753,              0.0014753,              0.0014753
                     55,                0.67002,                0.61898,                0.82495,                 0.9943,                0.96667,                0.97559,                0.78297,                0.72889,                0.57813,                0.82527,              0.0014654,              0.0014654,              0.0014654
                     56,                0.61681,                0.59136,                0.83112,                0.99534,                0.96667,                0.97409,                0.80331,                0.70339,                0.56193,                0.82147,              0.0014555,              0.0014555,              0.0014555
